Date,Open,High,Low,Close,Adj Close,Volume
06-09-2023,19581.19922,19636.44922,19491.5,19611.05078,19611.05078,287600
07-09-2023,19598.65039,19737,19550.05078,19727.05078,19727.05078,304900
08-09-2023,19774.80078,19867.15039,19727.05078,19819.94922,19819.94922,288100
11-09-2023,19890,20008.15039,19865.34961,19996.34961,19996.34961,248800
12-09-2023,20110.15039,20110.34961,19914.65039,19993.19922,19993.19922,328100
13-09-2023,19989.5,20096.90039,19944.09961,20070,20070,251400
14-09-2023,20127.94922,20167.65039,20043.44922,20103.09961,20103.09961,275100
15-09-2023,20156.44922,20222.44922,20129.69922,20192.34961,20192.34961,438200
18-09-2023,20155.94922,20195.34961,20115.69922,20133.30078,20133.30078,264900
20-09-2023,19980.75,20050.65039,19878.84961,19901.40039,19901.40039,378100
21-09-2023,19840.55078,19848.75,19709.94922,19742.34961,19742.34961,275100
22-09-2023,19744.84961,19798.65039,19657.5,19674.25,19674.25,246400
25-09-2023,19678.19922,19734.15039,19601.55078,19674.55078,19674.55078,188400
26-09-2023,19682.80078,19699.34961,19637.44922,19664.69922,19664.69922,204900
27-09-2023,19637.05078,19730.69922,19554,19716.44922,19716.44922,203600
28-09-2023,19761.80078,19766.65039,19492.09961,19523.55078,19523.55078,352800
29-09-2023,19581.19922,19726.25,19551.05078,19638.30078,19638.30078,243500
03-10-2023,19622.40039,19623.19922,19479.65039,19528.75,19528.75,221700
04-10-2023,19446.30078,19457.80078,19333.59961,19436.09961,19436.09961,277100
05-10-2023,19521.84961,19576.94922,19487.30078,19545.75,19545.75,234900
06-10-2023,19621.19922,19675.75,19589.40039,19653.5,19653.5,159100
09-10-2023,19539.44922,19588.94922,19480.5,19512.34961,19512.34961,165100
10-10-2023,19565.59961,19717.80078,19565.44922,19689.84961,19689.84961,216600
11-10-2023,19767,19839.19922,19756.94922,19811.34961,19811.34961,213700
12-10-2023,19822.69922,19843.30078,19772.65039,19794,19794,217900
13-10-2023,19654.55078,19805.40039,19635.30078,19751.05078,19751.05078,255000
16-10-2023,19737.25,19781.30078,19691.84961,19731.75,19731.75,181000
17-10-2023,19843.19922,19849.75,19775.65039,19811.5,19811.5,185800
18-10-2023,19820.44922,19840.94922,19659.94922,19671.09961,19671.09961,198900
19-10-2023,19545.19922,19681.80078,19512.34961,19624.69922,19624.69922,230300
20-10-2023,19542.15039,19593.80078,19518.69922,19542.65039,19542.65039,198300
23-10-2023,19521.59961,19556.84961,19257.84961,19281.75,19281.75,176000
25-10-2023,19286.44922,19347.30078,19074.15039,19122.15039,19122.15039,225300
26-10-2023,19027.25,19041.69922,18837.84961,18857.25,18857.25,300400
27-10-2023,18928.75,19076.15039,18926.65039,19047.25,19047.25,205200
30-10-2023,19053.40039,19158.5,18940,19140.90039,19140.90039,180100
31-10-2023,19232.94922,19233.69922,19056.44922,19079.59961,19079.59961,206000
01-11-2023,19064.05078,19096.05078,18973.69922,18989.15039,18989.15039,194100
02-11-2023,19120,19175.25,19064.15039,19133.25,19133.25,245600
03-11-2023,19241,19276.25,19210.90039,19230.59961,19230.59961,189500
06-11-2023,19345.84961,19423,19309.69922,19411.75,19411.75,180700
07-11-2023,19404.05078,19423.5,19329.09961,19406.69922,19406.69922,198700
08-11-2023,19449.59961,19464.40039,19401.5,19443.5,19443.5,195000
09-11-2023,19457.40039,19463.90039,19378.34961,19395.30078,19395.30078,208400
10-11-2023,19351.84961,19451.30078,19329.44922,19425.34961,19425.34961,152200
13-11-2023,19486.75,19494.40039,19414.75,19443.55078,19443.55078,189300
15-11-2023,19651.40039,19693.19922,19579.65039,19675.44922,19675.44922,291500
16-11-2023,19674.69922,19875.25,19627,19765.19922,19765.19922,282700
17-11-2023,19674.75,19806,19667.44922,19731.80078,19731.80078,236800
20-11-2023,19731.15039,19756.44922,19670.5,19694,19694,173800
21-11-2023,19770.90039,19829.09961,19754.05078,19783.40039,19783.40039,195000
22-11-2023,19784,19825.55078,19703.84961,19811.84961,19811.84961,184500
23-11-2023,19828.44922,19875.15039,19786.75,19802,19802,170000
24-11-2023,19809.59961,19832.84961,19768.84961,19794.69922,19794.69922,145900
28-11-2023,19844.65039,19916.84961,19800,19889.69922,19889.69922,229600
29-11-2023,19976.55078,20104.65039,19956.30078,20096.59961,20096.59961,236200
30-11-2023,20108.5,20158.69922,20015.84961,20133.15039,20133.15039,486600
01-12-2023,20194.09961,20291.55078,20183.69922,20267.90039,20267.90039,265800
04-12-2023,20601.94922,20702.65039,20507.75,20686.80078,20686.80078,381100
05-12-2023,20808.90039,20864.05078,20711.15039,20855.09961,20855.09961,421000
06-12-2023,20950.75,20961.94922,20852.15039,20937.69922,20937.69922,359200
07-12-2023,20932.40039,20941.25,20850.80078,20901.15039,20901.15039,275000
08-12-2023,20934.09961,21006.09961,20862.69922,20969.40039,20969.40039,292400
11-12-2023,20965.30078,21026.09961,20923.69922,20997.09961,20997.09961,212900
12-12-2023,21018.55078,21037.90039,20867.15039,20906.40039,20906.40039,244900
13-12-2023,20929.75,20950,20769.5,20926.34961,20926.34961,260300
14-12-2023,21110.40039,21210.90039,21074.44922,21182.69922,21182.69922,334400
15-12-2023,21287.44922,21492.30078,21235.30078,21456.65039,21456.65039,508800
18-12-2023,21434.80078,21482.80078,21365.34961,21418.65039,21418.65039,249700
19-12-2023,21477.65039,21505.05078,21337.75,21453.09961,21453.09961,249800
20-12-2023,21543.5,21593,21087.34961,21150.15039,21150.15039,363900
21-12-2023,21033.94922,21288.34961,20976.80078,21255.05078,21255.05078,277500
22-12-2023,21295.84961,21390.5,21232.44922,21349.40039,21349.40039,284700
26-12-2023,21365.19922,21477.15039,21329.44922,21441.34961,21441.34961,219500
27-12-2023,21497.65039,21675.75,21495.80078,21654.75,21654.75,256500
28-12-2023,21715,21801.44922,21678,21778.69922,21778.69922,393100
29-12-2023,21737.65039,21770.30078,21676.90039,21731.40039,21731.40039,270900
01-01-2024,21727.75,21834.34961,21680.84961,21741.90039,21741.90039,154000
02-01-2024,21751.34961,21755.59961,21555.65039,21665.80078,21665.80078,263700
03-01-2024,21661.09961,21677,21500.34961,21517.34961,21517.34961,311900
04-01-2024,21605.80078,21685.65039,21564.55078,21658.59961,21658.59961,339200
05-01-2024,21705.75,21749.59961,21629.19922,21710.80078,21710.80078,309300
08-01-2024,21747.59961,21763.94922,21492.90039,21513,21513,231500
09-01-2024,21653.59961,21724.44922,21517.84961,21544.84961,21544.84961,228600
10-01-2024,21529.30078,21641.84961,21448.65039,21618.69922,21618.69922,217000
11-01-2024,21688,21726.5,21593.75,21647.19922,21647.19922,212500
12-01-2024,21773.55078,21928.25,21715.15039,21894.55078,21894.55078,294700
15-01-2024,22053.15039,22115.55078,21963.55078,22097.44922,22097.44922,345500
16-01-2024,22080.5,22124.15039,21969.80078,22032.30078,22032.30078,292400
17-01-2024,21647.25,21851.5,21550.44922,21571.94922,21571.94922,456000
18-01-2024,21414.19922,21539.40039,21285.55078,21462.25,21462.25,387300
19-01-2024,21615.19922,21670.59961,21575,21622.40039,21622.40039,343100
23-01-2024,21716.69922,21750.25,21192.59961,21238.80078,21238.80078,449700
24-01-2024,21185.25,21482.34961,21137.19922,21453.94922,21453.94922,407500
25-01-2024,21454.59961,21459,21247.05078,21352.59961,21352.59961,418100
29-01-2024,21433.09961,21763.25,21429.59961,21737.59961,21737.59961,376700
30-01-2024,21775.75,21813.05078,21501.80078,21522.09961,21522.09961,375100
31-01-2024,21487.25,21741.34961,21448.84961,21725.69922,21725.69922,410600
01-02-2024,21780.65039,21832.94922,21658.75,21697.44922,21697.44922,332500
02-02-2024,21812.75,22126.80078,21805.55078,21853.80078,21853.80078,442800
05-02-2024,21921.05078,21964.30078,21726.94922,21771.69922,21771.69922,440800
06-02-2024,21825.19922,21951.40039,21737.55078,21929.40039,21929.40039,371000
07-02-2024,22045.05078,22053.30078,21860.15039,21930.5,21930.5,346300
08-02-2024,22009.65039,22011.05078,21665.30078,21717.94922,21717.94922,491100
09-02-2024,21727,21804.44922,21629.90039,21782.5,21782.5,349200
12-02-2024,21800.80078,21831.69922,21574.75,21616.05078,21616.05078,287400
13-02-2024,21664.30078,21766.80078,21543.34961,21743.25,21743.25,365800
14-02-2024,21578.15039,21870.84961,21530.19922,21840.05078,21840.05078,359100
15-02-2024,21906.55078,21953.84961,21794.80078,21910.75,21910.75,345400
16-02-2024,22020.30078,22068.65039,21968.94922,22040.69922,22040.69922,343900
19-02-2024,22103.44922,22186.65039,22021.05078,22122.25,22122.25,0
20-02-2024,22099.19922,22215.59961,22045.84961,22196.94922,22196.94922,295700
21-02-2024,22248.84961,22249.40039,21997.94922,22055.05078,22055.05078,364500
22-02-2024,22081.55078,22252.5,21875.25,22217.44922,22217.44922,343500
23-02-2024,22290,22297.5,22186.09961,22212.69922,22212.69922,226000
26-02-2024,22169.19922,22202.15039,22075.15039,22122.05078,22122.05078,207800
27-02-2024,22090.19922,22218.25,22085.65039,22198.34961,22198.34961,252200
28-02-2024,22214.09961,22229.15039,21915.84961,21951.15039,21951.15039,203000
29-02-2024,21935.19922,22060.55078,21860.65039,21982.80078,21982.80078,360200
01-03-2024,22048.30078,22353.30078,22047.75,22338.75,22338.75,351500
04-03-2024,22403.5,22440.90039,22358.30078,22405.59961,22405.59961,298800
05-03-2024,22371.25,22416.90039,22269.15039,22356.30078,22356.30078,296200
06-03-2024,22327.5,22497.19922,22224.34961,22474.05078,22474.05078,312300
07-03-2024,22505.30078,22525.65039,22430,22493.55078,22493.55078,379900
11-03-2024,22517.5,22526.59961,22307.25,22332.65039,22332.65039,277900
12-03-2024,22334.44922,22452.55078,22256,22335.69922,22335.69922,299200
13-03-2024,22432.19922,22446.75,21905.65039,21997.69922,21997.69922,493300
14-03-2024,21982.55078,22204.59961,21917.5,22146.65039,22146.65039,426700
15-03-2024,22064.84961,22120.90039,21931.69922,22023.34961,22023.34961,661500
18-03-2024,21990.09961,22123.69922,21916.55078,22055.69922,22055.69922,356300
19-03-2024,21946.44922,21978.30078,21793.09961,21817.44922,21817.44922,344200
20-03-2024,21843.90039,21930.90039,21710.19922,21839.09961,21839.09961,312400
21-03-2024,21989.90039,22080.94922,21941.30078,22011.94922,22011.94922,353200
22-03-2024,21932.19922,22180.69922,21883.30078,22096.75,22096.75,388700
26-03-2024,21947.90039,22073.19922,21947.55078,22004.69922,22004.69922,328400
27-03-2024,22053.94922,22193.59961,22052.84961,22123.65039,22123.65039,409100
28-03-2024,22163.59961,22516,22163.59961,22326.90039,22326.90039,410500
01-04-2024,22455,22529.94922,22427.75,22462,22462,0
02-04-2024,22458.80078,22497.59961,22388.15039,22453.30078,22453.30078,289500
03-04-2024,22385.69922,22521.09961,22346.5,22434.65039,22434.65039,309600
04-04-2024,22592.09961,22619,22303.80078,22514.65039,22514.65039,401000
05-04-2024,22486.40039,22537.59961,22427.59961,22513.69922,22513.69922,242200
08-04-2024,22578.34961,22697.30078,22550.34961,22666.30078,22666.30078,227600
09-04-2024,22765.09961,22768.40039,22612.25,22642.75,22642.75,232400
10-04-2024,22720.25,22775.69922,22673.69922,22753.80078,22753.80078,276800
12-04-2024,22677.40039,22726.44922,22503.75,22519.40039,22519.40039,357200
15-04-2024,22339.05078,22427.44922,22259.55078,22272.5,22272.5,355500
16-04-2024,22125.30078,22213.75,22079.44922,22147.90039,22147.90039,317300
18-04-2024,22212.34961,22326.5,21961.69922,21995.84961,21995.84961,456900
19-04-2024,21861.5,22179.55078,21777.65039,22147,22147,362500
22-04-2024,22336.90039,22375.65039,22198.15039,22336.40039,22336.40039,279300
23-04-2024,22447.05078,22447.55078,22349.44922,22368,22368,231500
24-04-2024,22421.55078,22476.44922,22384,22402.40039,22402.40039,235900
25-04-2024,22316.90039,22625.94922,22305.25,22570.34961,22570.34961,475000
26-04-2024,22620.40039,22620.40039,22385.55078,22419.94922,22419.94922,329900
29-04-2024,22475.55078,22655.80078,22441.90039,22643.40039,22643.40039,292000
30-04-2024,22679.65039,22783.34961,22568.40039,22604.84961,22604.84961,361900
02-05-2024,22567.84961,22710.5,22567.84961,22648.19922,22648.19922,445900
03-05-2024,22766.34961,22794.69922,22348.05078,22475.84961,22475.84961,438100
06-05-2024,22561.59961,22588.80078,22409.44922,22442.69922,22442.69922,320300
07-05-2024,22489.75,22499.05078,22232.05078,22302.5,22302.5,297800
08-05-2024,22231.19922,22368.65039,22185.19922,22302.5,22302.5,277400
09-05-2024,22224.80078,22307.75,21932.40039,21957.5,21957.5,331300
10-05-2024,21990.94922,22131.30078,21950.30078,22055.19922,22055.19922,0
